,date,funding_rate
323,2024-03-25,0.00070688
324,2024-03-26,0.00067075
325,2024-03-27,0.00101939
326,2024-03-28,0.00083524
327,2024-03-29,0.00073876
328,2024-03-30,0.0008625099999999999
329,2024-03-31,0.0011254099999999999
330,2024-04-01,0.00131121
331,2024-04-02,0.00037382
332,2024-04-03,0.00030000000000000003
333,2024-04-04,0.00030000000000000003
334,2024-04-05,0.00030000000000000003
335,2024-04-06,0.00030000000000000003
336,2024-04-07,0.00030000000000000003
337,2024-04-08,0.00055189
338,2024-04-09,0.0006057899999999999
339,2024-04-10,0.00034386000000000003
340,2024-04-11,0.00053895
341,2024-04-12,0.00049102
342,2024-04-13,0.00030000000000000003
343,2024-04-14,0.00030000000000000003
344,2024-04-15,0.00021759
345,2024-04-16,0.00018991
346,2024-04-17,0.00016483
347,2024-04-18,9.585e-05
348,2024-04-19,9.401e-05
349,2024-04-20,0.00013438
350,2024-04-21,9.364e-05
351,2024-04-22,7.804e-05
352,2024-04-23,2.9210000000000003e-05
353,2024-04-24,0.00013761999999999997
354,2024-04-25,0.00012229
355,2024-04-26,7.956e-05
356,2024-04-27,0.00020304
357,2024-04-28,1.7070000000000004e-05
358,2024-04-29,0.00014844
359,2024-04-30,0.00028894
360,2024-05-01,0.00028848000000000003
361,2024-05-02,0.0001268
362,2024-05-03,2.7779999999999995e-05
363,2024-05-04,0.00016423000000000002
364,2024-05-05,0.00011446000000000001
365,2024-05-06,7.316999999999999e-05
366,2024-05-07,0.00016673
367,2024-05-08,0.00019736
368,2024-05-09,0.00016216
369,2024-05-10,0.00014613
370,2024-05-11,0.00017719
371,2024-05-12,0.00015434
372,2024-05-13,0.0002762
373,2024-05-14,0.00024258
374,2024-05-15,0.00011988
375,2024-05-16,0.00010794
376,2024-05-17,5.164e-05
377,2024-05-18,7.848e-05
378,2024-05-19,0.00013328
379,2024-05-20,0.00010638
380,2024-05-21,0.00030517
381,2024-05-22,0.00035758999999999997
382,2024-05-23,0.00030000000000000003
383,2024-05-24,0.00030000000000000003
384,2024-05-25,0.00030000000000000003
385,2024-05-26,0.00030000000000000003
386,2024-05-27,0.00030000000000000003
387,2024-05-28,0.00030000000000000003
388,2024-05-29,0.00032558
389,2024-05-30,0.00030000000000000003
390,2024-05-31,0.00036867000000000003
391,2024-06-01,0.00030250000000000003
392,2024-06-02,0.00030000000000000003
393,2024-06-03,0.00034135
394,2024-06-04,0.00032008000000000004
395,2024-06-05,0.00039612999999999996
396,2024-06-06,0.00032208
397,2024-06-07,0.00030166000000000004
398,2024-06-08,0.00030000000000000003
